SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
50,4,9,6,1,California,Alameda County,1510271,1510283,1512997,1530893,1553729,1579508,1607638,1634326,1650765,1659824,1666596,1668412,1665644
50,4,9,6,3,California,Alpine County,1175,1175,1161,1093,1111,1131,1083,1080,1053,1116,1081,1113,1110
50,4,9,6,5,California,Amador County,38091,38091,37883,37539,37105,36624,36734,37039,37443,38549,39349,39693,40045
50,4,9,6,7,California,Butte County,220000,220005,219951,219983,220877,221649,223525,224643,226222,228700,230330,218726,214384
50,4,9,6,9,California,Calaveras County,45578,45577,45467,45159,44816,44658,44677,44972,45307,45658,45747,46119,46296
50,4,9,6,11,California,Colusa County,21419,21407,21435,21315,21274,21239,21156,21208,21476,21558,21389,21474,21548
50,4,9,6,13,California,Contra Costa County,1049025,1049188,1052516,1065361,1077439,1093253,1108665,1124148,1137259,1145623,1150840,1152883,1153445
50,4,9,6,15,California,Del Norte County,28610,28610,28568,28447,28195,27821,27182,27198,27415,27383,27793,27903,27973
50,4,9,6,17,California,El Dorado County,181058,181079,181161,180963,180613,181529,183157,184627,186027,188793,190925,193057,193078
50,4,9,6,19,California,Fresno County,930450,930503,932011,939251,944779,951143,960072,968889,976231,984726,991298,997847,1000999
50,4,9,6,21,California,Glenn County,28122,28121,28125,28131,27836,27784,27802,27723,27796,27876,27899,28445,28342
50,4,9,6,23,California,Humboldt County,134623,134613,135010,135257,134597,134447,134556,135177,136477,136710,136502,135839,135268
50,4,9,6,25,California,Imperial County,174528,174522,174704,175731,176487,176301,177786,178701,179881,181250,181062,180439,180476
50,4,9,6,27,California,Inyo County,18546,18533,18503,18385,18344,18348,18280,18097,17897,17819,17894,17993,18062
50,4,9,6,29,California,Kern County,839631,839619,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,901373
50,4,9,6,31,California,Kings County,152982,152990,152342,151779,150884,150237,149373,149960,149269,149542,151221,152727,152804
50,4,9,6,33,California,Lake County,64665,64662,64736,64258,63966,63811,64056,64266,63912,64132,64394,64463,64521
50,4,9,6,35,California,Lassen County,34895,34895,34828,34235,33622,32128,31664,31256,30715,30919,30658,30694,30193
50,4,9,6,37,California,Los Angeles County,9818605,9818646,9821647,9873700,9931394,9987189,10033449,10077263,10094865,10092365,10061533,10011602,9968969
50,4,9,6,39,California,Madera County,150865,150834,151006,151685,151520,151295,153357,153448,153694,155079,156373,156717,157606
50,4,9,6,41,California,Marin County,252409,252425,252906,255380,256087,258441,260403,260974,260722,259975,260091,259085,257948
50,4,9,6,43,California,Mariposa County,18251,18271,18302,18199,17912,17840,17745,17653,17498,17461,17361,17117,17182
50,4,9,6,45,California,Mendocino County,87841,87850,87796,87335,87293,87070,87247,87131,87319,87690,87549,86932,86349
50,4,9,6,47,California,Merced County,255793,255797,256709,259249,260776,261888,264241,266133,267370,270837,273733,277114,278938
50,4,9,6,49,California,Modoc County,9686,9686,9698,9513,9358,9154,9078,9064,8957,8864,8816,8866,8798
50,4,9,6,51,California,Mono County,14202,14204,14256,14424,14328,14064,14130,14074,14256,14333,14400,14450,14512
50,4,9,6,53,California,Monterey County,415057,415058,416358,420379,424222,426163,427985,430178,433436,433803,433359,433380,431854
50,4,9,6,55,California,Napa County,136484,136535,136752,137668,138504,139522,140331,140766,140778,139818,138620,137678,136493
50,4,9,6,57,California,Nevada County,98764,98749,98795,98716,98165,97969,98605,98716,98939,99421,99472,99648,99675
50,4,9,6,59,California,Orange County,3010232,3010258,3016376,3050199,3078710,3105262,3126523,3148952,3164277,3174159,3175579,3170851,3170769
50,4,9,6,61,California,Placer County,348432,348481,350007,356323,360269,365415,369241,372870,379046,385348,392735,398918,402221
50,4,9,6,63,California,Plumas County,20007,20007,19915,19720,19380,18901,18631,18435,18691,18680,18830,19052,18991
50,4,9,6,65,California,Riverside County,2189641,2189785,2201562,2233840,2260763,2286087,2315238,2344648,2378282,2413058,2443221,2465569,2485219
50,4,9,6,67,California,Sacramento County,1418788,1418736,1421381,1433712,1444819,1457283,1474828,1493547,1511401,1527984,1539550,1551660,1558550
50,4,9,6,69,California,San Benito County,55269,55265,55544,56094,56704,57320,57891,58276,59270,60190,61415,62803,63808
50,4,9,6,71,California,San Bernardino County,2035210,2035172,2040803,2060596,2073088,2082101,2098346,2114352,2130726,2149847,2165627,2177279,2187894
50,4,9,6,73,California,San Diego County,3095313,3095352,3103260,3137236,3175148,3210788,3249307,3280825,3305462,3319019,3332483,3330459,3334413
50,4,9,6,75,California,San Francisco County,805235,805184,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,870561
50,4,9,6,77,California,San Joaquin County,685306,685298,687115,694265,699444,701831,711296,721919,732662,743286,752590,761571,767048
50,4,9,6,79,California,San Luis Obispo County,269637,269599,269800,271056,274174,275713,278271,280138,281884,282473,283250,282728,282577
50,4,9,6,81,California,San Mateo County,718451,718528,719948,728945,739700,749131,757653,765479,767928,768658,768410,764810,760706
50,4,9,6,83,California,Santa Barbara County,423895,423947,424218,425404,429635,434503,438921,442051,444112,444998,445137,445464,445285
50,4,9,6,85,California,Santa Clara County,1781642,1781680,1786001,1811891,1837605,1866050,1891286,1915736,1928144,1932251,1931985,1922411,1913192
50,4,9,6,87,California,Santa Cruz County,262382,262345,263174,264927,266391,268836,270863,273495,274476,274865,273713,272870,270819
50,4,9,6,89,California,Shasta County,177223,177222,177277,177613,177908,178447,178904,178386,178592,179403,179666,179645,179278
50,4,9,6,91,California,Sierra County,3240,3239,3220,3100,3068,3031,2976,2990,2956,3008,2961,2959,2933
50,4,9,6,93,California,Siskiyou County,44900,44899,44941,44622,44091,43550,43357,43275,43402,43647,43624,43663,43381
50,4,9,6,95,California,Solano County,413344,413343,413963,416325,419645,423634,428971,433378,438834,443554,445931,447434,447406
50,4,9,6,97,California,Sonoma County,483878,483866,484675,487231,489784,493870,498317,500598,502445,502203,497221,492318,490747
50,4,9,6,99,California,Stanislaus County,514453,514451,515137,517515,520336,523313,527814,532954,538986,544494,547855,549761,550391
50,4,9,6,101,California,Sutter County,94737,94751,94742,94466,94153,94457,94721,95224,95769,96161,96348,96910,96593
50,4,9,6,103,California,Tehama County,63463,63441,63562,63337,63213,62878,62797,63150,63468,63827,63904,65186,64698
50,4,9,6,105,California,Trinity County,13786,13782,13755,13685,13494,13427,13126,13094,12827,12727,12598,12337,12252
50,4,9,6,107,California,Tulare County,442179,442176,442953,446709,449625,452259,454858,456794,458991,462072,464279,465751,468274
50,4,9,6,109,California,Tuolumne County,55365,55344,55164,54808,54201,53975,53830,53599,53729,53953,54250,54290,54501
50,4,9,6,111,California,Ventura County,823318,823446,825144,829908,833287,837729,842113,845599,846921,848264,847222,844203,842692
50,4,9,6,113,California,Yolo County,200849,200855,201061,201931,204558,206267,208368,211998,215569,218470,220082,220019,220010
50,4,9,6,115,California,Yuba County,72155,72142,72345,72480,72770,73082,73527,74039,74920,76575,77418,78549,79800
